"","scientificName","new_Lon","new_Lat","municipality","county.shape","status"
"68","Vochysia acuminata Bong.",-43.4661,-22.5753,NA,"nova iguacu","original municipality not informed"
"69","Vochysia acuminata Bong.",-23.638724,-23.638724,"caraguatatuba","not found","outside Brazil"
"70","Vochysia acuminata Bong.",-43.645093,-19.189098,"santana do riacho","santana do riacho","Ok"
"71","Vochysia acuminata Bong.",-43.624722,-18.1825,"diamantina","diamantina","Ok"
"72","Vochysia acuminata Bong.",-43.7,-19.166667,"santana do riacho","santana do riacho","Ok"
"73","Vochysia acuminata Bong.",-43.645093,-19.189098,"santana do riacho","santana do riacho","Ok"
"74","Vochysia acuminata Bong.",-43.71839,-19.441166,"jaboticatubas","jaboticatubas","Ok"
"75","Vochysia acuminata Bong.",-43.71839,-19.441166,"jaboticatubas","jaboticatubas","Ok"
"77","Vochysia acuminata Bong.",-18.0765,-18.0765,"sao goncalo do rio preto","not found","outside Brazil"
"79","Vochysia acuminata subsp. quadrangulata (Warm.) Stafleu",-43.610232,-17.993337,"diamantina","diamantina","Ok"
"80","Vochysia acuminata Bong.",-43.71839,-19.441166,"jaboticatubas","jaboticatubas","Ok"
"81","Vochysia acuminata Bong.",-41.763611,-13.156667,"piata","piata","Ok"
"82","Vochysia acuminata Bong.",-41.763611,-13.156667,"piata","piata","Ok"
"83","Vochysia acuminata Bong.",-43.7143985170281,-19.1729945899495,NA,"santana do riacho","original municipality not informed"
"84","Vochysia acuminata Bong.",-43.645093,-19.189098,"santana do riacho","santana do riacho","Ok"
